Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
23 November / Mgladbach v Man City / Match Odds,Man City,Back,6.6,2,-2,11/23/2016
23 November / Napoli v Dynamo Kiev / Match Odds,Napoli,Back,2.34,3,-3,11/23/2016
23 November / Mgladbach v Man City / Match Odds,The Draw,Lay,2.18,7.82,-9.23,11/23/2016
23 November / Mgladbach v Man City / Match Odds,Man City,Lay,2.76,10.37,10.37,11/23/2016
23 November / Mgladbach v Man City / Match Odds,Man City,Back,1.66,7,-7,11/23/2016
23 November / Arsenal v Paris St-G / Match Odds,Paris St-G,Back,3.2,2.53,-2.53,11/23/2016
23 November / Arsenal v Paris St-G / Match Odds,Paris St-G,Back,3.2,3,-3,11/23/2016
23 November / Mgladbach v Man City / Match Odds,Mgladbach,Lay,2.46,7,7,11/23/2016
23 November / Arsenal v Paris St-G / Match Odds,Paris St-G,Lay,1.6,11,11,11/23/2016
24 November / Athletic Bilbao v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.25,0.45,0.11,11/24/2016
24 November / Genk v Rapid Vienna / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.88,0.05,0.04,11/24/2016
24 November / Genk v Rapid Vienna / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,2.14,4.18,4.18,11/24/2016
24 November / Genk v Rapid Vienna / Over/Under 2.5 Goals,Under 2.5 Goals,Back,2.96,2,3.92,11/24/2016
24 November / Athletic Bilbao v Sassuolo / Over/Under 2.5 Goals,Under 2.5 Goals,Back,13,1.31,-1.31,11/24/2016
24 November / Athletic Bilbao v Sassuolo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.83,9,7.47,11/24/2016
24 November / Genk v Rapid Vienna / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.87,8,-8,11/24/2016
24 November / FK Krasnodar v Red Bull Salzburg / Match Odds,Red Bull Salzburg,Lay,1.29,11,11,11/24/2016
24 November / FC Zurich v Villarreal / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.22,8,-8,11/24/2016
24 November / FK Krasnodar v Red Bull Salzburg / Match Odds,FK Krasnodar,Back,2.02,10,-10,11/24/2016
25 November  / Freiburg v RB Leipzig / Match Odds,Freiburg,Lay,4.1,7,7,11/25/2016
26 November  / Torino v Chievo / Match Odds,Chievo,Back,70,0.46,-0.46,11/26/2016
26 November / Liverpool v Sunderland / Match Odds,Liverpool,Back,1.76,5,3.8,11/26/2016
26 November  / Torino v Chievo / Match Odds,Chievo,Lay,6,5,5,11/26/2016
26 November  / Eintracht Frankfurt v Dortmund / Match Odds,Eintracht Frankfurt,Back,7,2.47,14.82,11/26/2016
26 November  / Eintracht Frankfurt v Dortmund / Match Odds,Eintracht Frankfurt,Lay,5.6,3,-13.8,11/26/2016
27 November / Man Utd v West Ham / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.31,0.04,0.04,11/27/2016
27 November / Man Utd v West Ham / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.3,5.37,5.37,11/27/2016
27 November / Man Utd v West Ham / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.1,11,11,11/27/2016
27 November  / FK Krasnodar v Zenit St Petersburg / Match Odds,FK Krasnodar,Lay,3.15,0.1,-0.22,11/27/2016
27 November  / FK Krasnodar v Zenit St Petersburg / Match Odds,FK Krasnodar,Back,3.1,7.22,15.16,11/27/2016
27 November  / Rostov v Anzhi Makhachkala / Match Odds,Rostov,Lay,1.24,5,-1.2,11/27/2016
27 November  / Rostov v Anzhi Makhachkala / Match Odds,Rostov,Back,1.86,9,7.74,11/27/2016
27 November / Man Utd v West Ham / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.74,2,-2,11/27/2016
27 November / Man Utd v West Ham / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.74,9,-9,11/27/2016
27 November  / FK Krasnodar v Zenit St Petersburg / Match Odds,FK Krasnodar,Lay,3.15,7,-15.05,11/27/2016
03 December  / Rostov v Zenit St Petersburg / Match Odds,Zenit St Petersburg,Back,2.24,9,-9,12/3/2016
03 December  / Barcelona v Real Madrid / Match Odds,Barcelona,Lay,1.9,5,5,12/3/2016
03 December  / Barcelona v Real Madrid / Match Odds,Barcelona,Lay,1.89,5,5,12/3/2016
03 December  / Barcelona v Real Madrid / Match Odds,Barcelona,Lay,1.89,5,5,12/3/2016
06 December / Benfica v Napoli / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.99,10,9.9,12/6/2016
06 December / PSV v Rostov / Match Odds,PSV,Lay,1.71,20,20,12/6/2016
07 December / Legia Warsaw v Sporting Lisbon / Match Odds,Legia Warsaw,Lay,1.56,2,-1.12,12/7/2016
07 December / Club Brugge v FC Copenhagen / Match Odds,Club Brugge,Back,44,0.38,-0.38,12/7/2016
07 December / Legia Warsaw v Sporting Lisbon / Match Odds,The Draw,Back,3.5,3,-3,12/7/2016
07 December / Leverkusen v Monaco / Match Odds,Leverkusen,Lay,1.25,8,-2,12/7/2016
07 December / Porto v Leicester / Match Odds,Porto,Lay,1.1,10,-1,12/7/2016
07 December / Club Brugge v FC Copenhagen / Match Odds,Club Brugge,Lay,4,4,4,12/7/2016
07 December / Legia Warsaw v Sporting Lisbon / Match Odds,Sporting Lisbon,Back,1.91,3,-3,12/7/2016
07 December / Legia Warsaw v Sporting Lisbon / Match Odds,Sporting Lisbon,Back,1.91,7,-7,12/7/2016
08 December / Nice v FK Krasnodar / Match Odds,The Draw,Back,7.4,2,-2,12/8/2016
